ID,MARCA,MODELO,VERSION,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,Comb.,Segmento,Puertas,Traccion
,AUDI,A3,1.8T FSI CABRIO S-TRONIC," $ 515,000 "," $ 465,000 "," $ 415,000 ",,,,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI PLUS," $ 405,000 "," $ 355,000 "," $ 315,000 "," $ 290,000 "," $ 265,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI PLUS STRONIC," $ 420,000 "," $ 370,000 "," $ 330,000 "," $ 300,000 "," $ 275,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM," $ 420,000 "," $ 370,000 "," $ 330,000 "," $ 305,000 "," $ 280,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM STRONIC," $ 435,000 "," $ 385,000 "," $ 345,000 "," $ 315,000 "," $ 290,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM CUERO," $ 430,000 "," $ 380,000 "," $ 340,000 "," $ 315,000 "," $ 290,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM CUERO STRONIC," $ 445,000 "," $ 395,000 "," $ 355,000 "," $ 325,000 "," $ 300,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM PLUS," $ 430,000 "," $ 380,000 "," $ 340,000 "," $ 315,000 "," $ 290,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM PLUS STRONIC," $ 445,000 "," $ 395,000 "," $ 355,000 "," $ 325,000 "," $ 300,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM PLUS.CUERO," $ 440,000 "," $ 390,000 "," $ 350,000 "," $ 325,000 "," $ 300,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.8T FSI.PREMIUM PLUS.CUERO STR," $ 455,000 "," $ 405,000 "," $ 365,000 "," $ 335,000 "," $ 310,000 ",,,,,,,,,,,,,,,
,AUDI,A3,1.9 TDI 90 HP 3P,,,,,,,,,,,,," $ 83,000 "," $ 79,000 "," $ 75,000 "," $ 71,000 ",,,,
,AUDI,A3,1.9 TDI 90 HP 5P,,,,,,,,,,,,," $ 84,000 "," $ 80,000 "," $ 76,000 "," $ 72,000 ",,,,
,AUDI,A3,1.9 TDI 105 HP 3 P,,,,," $ 200,000 "," $ 190,000 ",,,,,,,,,,,,,,
,AUDI,A3,1.9 TDI 110 HP 3 P,,,,,,,,,," $ 97,000 "," $ 93,000 "," $ 89,000 "," $ 85,000 "," $ 81,000 "," $ 77,000 ",,,,,
,AUDI,A3,1.9 TDI 110 HP 3 P AUT,,,,,,,,,,,,," $ 86,000 "," $ 82,000 "," $ 78,000 "," $ 74,000 ",,,,
,AUDI,A3,1.9 TDI 110 HP 3 P  ATTRACTION,,,,,,,,,," $ 101,000 "," $ 97,000 "," $ 93,000 "," $ 89,000 "," $ 85,000 "," $ 91,000 "," $ 77,000 ",,,,
,AUDI,A3,1.9 TDI 110 HP 5 P,,,,,,,,,," $ 98,000 "," $ 94,000 "," $ 90,000 "," $ 86,000 "," $ 82,000 ",,,,,,
